NAME,elig ,year,percent,number,total_pop
Academy School District 20,Eligible for Free or Reduced Lunch,2020,0.144,3697,25674
Adams County School District 14,Eligible for Free or Reduced Lunch,2020,0.772,4683,6066
Adams-Arapahoe School District 28J,Eligible for Free or Reduced Lunch,2020,0.723,27403,37902
Agate School District 300,Eligible for Free or Reduced Lunch,2020,0.63,46,73
Aguilar Reorganized School District 6,Eligible for Free or Reduced Lunch,2020,0.77,77,100
Akron School District R-1,Eligible for Free or Reduced Lunch,2020,0.518,203,392
Alamosa School District RE-11J,Eligible for Free or Reduced Lunch,2020,0.73,1589,2177
Archuleta County School District 50-JT,Eligible for Free or Reduced Lunch,2020,0.514,822,1599
Arickaree School District R-2,Eligible for Free or Reduced Lunch,2020,0.52,51,98
Arriba-Flagler School District C-20,Eligible for Free or Reduced Lunch,2020,0.516,80,155
Aspen School District 1,Eligible for Free or Reduced Lunch,2020,0.032,51,1594
Ault-Highland School District RE-9,Eligible for Free or Reduced Lunch,2020,0.485,437,901
Bayfield School District R-10-JT,Eligible for Free or Reduced Lunch,2020,0.329,432,1313
Bennett School District 29-J,Eligible for Free or Reduced Lunch,2020,0.336,395,1176
Bethune School District R-5,Eligible for Free or Reduced Lunch,2020,0.743,78,105
Big Sandy School District 100J,Eligible for Free or Reduced Lunch,2020,0.51,152,298
Boulder Valley School District RE-2,Eligible for Free or Reduced Lunch,2020,0.197,5765,29264
Branson Reorganized School District 82,Eligible for Free or Reduced Lunch,2020,0.278,165,594
Briggsdale School District RE-10,Eligible for Free or Reduced Lunch,2020,0.343,60,175
Brighton School District 27J,Eligible for Free or Reduced Lunch,2020,0.283,5433,19198
Brush School District RE-2J,Eligible for Free or Reduced Lunch,2020,0.548,728,1328
Buena Vista School District R-31,Eligible for Free or Reduced Lunch,2020,0.328,316,963
Buffalo School District RE-4,Eligible for Free or Reduced Lunch,2020,0.292,90,308
Burlington School District RE-6J,Eligible for Free or Reduced Lunch,2020,0.576,430,747
